ID,Tip,Nume,Cantitate,PragAlerta,PretAchizitie,PretVanzare,VolumM3
58,Electronice,[Electronice] Modul Transmisie LoRa Model 29,78,10,112.73,265.08,0.02
59,Hardware,Trusa Tubulare Model 11,30,8,270.88,360.96,0.433
60,Perisabile,[Perisabile] Solutie Curatare Frane Model 7,24,6,70.09,130.48,0.121
61,Electronice,[Electronice] Sursa Laborator Model 2,110,11,121.18,184.27,0.448
62,Hardware,Cheie Dinamometrica Model 50,3,9,211.55,528.85,0.054
63,Auto,Filtru Aer Model 7,14,13,35.49,76.62,0.184
64,Auto,Senzor Debitmetru Model 52,124,11,102.21,170.61,0.31
65,Electronice,[Electronice] Sursa Laborator Model 54,13,18,149.73,217.09,0.25
66,Electronice,[Electronice] Modul Transmisie LoRa Model 65,98,12,165.46,222.65,0.353
67,Auto,Set Placute Frana Model 19,30,15,97.95,243.16,0.042
68,Electronice,[Electronice] Sursa Laborator Model 95,81,6,203.8,440.18,0.188
69,Perisabile,[Perisabile] Solutie Curatare Frane Model 12,30,11,34.48,77.93,0.326
70,Hardware,Set Imbusuri Model 46,75,8,276.75,553.86,0.334
71,Electronice,[Electronice] Multimetru Analogic Model 92,106,13,85.05,187.63,0.335
72,Perisabile,[Perisabile] Adeziv Industrial Model 36,128,10,68.89,135.06,0.138
73,Perisabile,[Perisabile] Solutie Curatare Frane Model 43,144,5,156.31,205.59,0.478
74,Hardware,Cheie Dinamometrica Model 55,125,16,85.85,210.15,0.172
75,Perisabile,[Perisabile] Solutie Curatare Frane Model 32,45,9,85.08,176.23,0.407
76,Hardware,Incarcator Gaz Model 8,144,10,187.96,373.33,0.144
77,Hardware,Incarcator Gaz Model 54,47,20,105.23,249.4,0.039
78,Electronice,[Electronice] Sursa Laborator Model 58,12,7,156.02,309.77,0.391
79,Electronice,[Electronice] Modul Transmisie LoRa Model 8,33,10,135.22,195.03,0.317
80,Auto,Rulment Roata Fata Model 14,3,19,255.79,408.53,0.069
81,Perisabile,[Perisabile] Spray Degripant Model 65,62,20,216.97,470.48,0.012
82,Auto,Senzor Debitmetru Model 99,85,15,45.89,93.13,0.176
83,Perisabile,[Perisabile] Adeziv Industrial Model 82,86,18,128.41,223.83,0.325
84,Electronice,[Electronice] Multimetru Analogic Model 61,30,14,51.19,77.48,0.316
85,Electronice,[Electronice] Modul Transmisie LoRa Model 71,62,5,181.51,270.16,0.29
86,Hardware,Set Imbusuri Model 25,19,7,239.48,388.16,0.037
87,Auto,Furtun Intercooler 2.0 TDI Model 30,109,17,224.87,510.47,0.344
88,Perisabile,[Perisabile] Adeziv Industrial Model 5,107,7,185.27,427.74,0.482
89,Perisabile,[Perisabile] Solutie Curatare Frane Model 58,11,6,184.03,392.15,0.089
90,Electronice,[Electronice] Osciloscop Model 35,22,12,117.5,288.19,0.311
91,Auto,Filtru Aer Model 31,111,11,11.66,19.08,0.143
92,Perisabile,[Perisabile] Adeziv Industrial Model 26,46,5,44.53,81.82,0.147
93,Electronice,[Electronice] Multimetru Analogic Model 69,15,17,137.09,301.85,0.118
94,Hardware,Trusa Tubulare Model 79,106,9,53.24,126.37,0.031
95,Perisabile,[Perisabile] Adeziv Industrial Model 23,139,12,284.08,695.73,0.052
96,Perisabile,[Perisabile] Spray Degripant Model 4,127,19,236.36,407.95,0.311
97,Auto,Senzor Debitmetru Model 1,3,12,142.27,196.33,0.442
98,Auto,Filtru Aer Model 23,7,13,243.75,424.25,0.137
99,Electronice,[Electronice] Sursa Laborator Model 54,17,9,140.7,336.97,0.342
100,Auto,Filtru Aer Model 44,138,13,230.95,400.3,0.212
101,Auto,Senzor Debitmetru Model 81,40,8,54.27,124.47,0.255
102,Hardware,Cheie Dinamometrica Model 56,25,7,157.73,222.65,0.43
103,Perisabile,[Perisabile] Spray Degripant Model 28,68,11,290.11,559.98,0.222
104,Perisabile,[Perisabile] Spray Degripant Model 61,117,11,288.08,394.49,0.299
105,Perisabile,[Perisabile] Spray Degripant Model 36,30,11,78.18,152.18,0.494
106,Electronice,[Electronice] Modul Transmisie LoRa Model 23,112,14,61.8,91.74,0.14
107,Perisabile,[Perisabile] Spray Degripant Model 83,127,6,176.96,341.13,0.063
108,Electronice,[Electronice] Osciloscop Model 10,87,8,76.64,96.23,0.481
109,Hardware,Cheie Dinamometrica Model 58,135,13,80.44,195.81,0.153
110,Hardware,Cheie Dinamometrica Model 21,59,18,40.86,86.33,0.106
111,Perisabile,[Perisabile] Adeziv Industrial Model 42,35,19,10.58,23.52,0.406
112,Hardware,Incarcator Gaz Model 78,133,15,87.15,141.48,0.371
113,Perisabile,[Perisabile] Adeziv Industrial Model 10,107,11,226.36,544.34,0.149
114,Electronice,[Electronice] Modul Transmisie LoRa Model 23,78,15,131.09,236.36,0.436
115,Hardware,Trusa Tubulare Model 76,142,5,259.38,370.27,0.153
116,Hardware,Trusa Tubulare Model 47,27,15,92.4,175.99,0.155
117,Auto,Filtru Aer Model 25,111,5,105.85,238.96,0.273
118,Electronice,[Electronice] Osciloscop Model 38,75,13,178.05,436.18,0.182
119,Hardware,Trusa Tubulare Model 47,135,8,84.92,174.69,0.411
120,Perisabile,[Perisabile] Solutie Curatare Frane Model 35,30,8,68.73,136.09,0.316
121,Electronice,[Electronice] Multimetru Analogic Model 81,128,20,215.65,485.96,0.266
122,Perisabile,[Perisabile] Solutie Curatare Frane Model 72,139,7,143.86,305.73,0.068
123,Electronice,[Electronice] Multimetru Analogic Model 28,78,18,137.98,288.18,0.072
124,Electronice,[Electronice] Modul Transmisie LoRa Model 38,137,9,257.81,546.72,0.479
125,Auto,Rulment Roata Fata Model 45,148,10,123.12,219.57,0.448
126,Electronice,[Electronice] Modul Transmisie LoRa Model 24,3,13,256.5,321.97,0.041
127,Hardware,Trusa Tubulare Model 55,104,14,257.61,551.9,0.401
128,Auto,Rulment Roata Fata Model 83,54,20,107.3,209.72,0.066
129,Electronice,[Electronice] Osciloscop Model 71,97,17,273.77,435.63,0.134
130,Perisabile,[Perisabile] Solutie Curatare Frane Model 91,103,14,74.05,149.96,0.416
131,Perisabile,[Perisabile] Solutie Curatare Frane Model 55,138,8,178.84,296.79,0.125
132,Hardware,Cheie Dinamometrica Model 63,92,10,260.81,647.48,0.042
133,Electronice,[Electronice] Modul Transmisie LoRa Model 88,39,11,197.43,455.76,0.218
134,Perisabile,[Perisabile] Adeziv Industrial Model 13,45,13,268.0,463.55,0.051
135,Perisabile,[Perisabile] Adeziv Industrial Model 25,92,5,170.44,281.72,0.32
136,Electronice,[Electronice] Multimetru Analogic Model 50,84,12,225.55,415.53,0.242
137,Auto,Filtru Aer Model 45,91,5,18.21,40.51,0.079
138,Hardware,Trusa Tubulare Model 50,31,17,93.33,151.22,0.361
139,Auto,Set Placute Frana Model 57,110,5,297.73,731.7,0.441
140,Perisabile,[Perisabile] Solutie Curatare Frane Model 58,21,16,170.35,250.72,0.212
141,Perisabile,[Perisabile] Adeziv Industrial Model 54,33,10,163.16,267.38,0.135
142,Perisabile,[Perisabile] Solutie Curatare Frane Model 72,54,14,138.2,268.91,0.253
143,Electronice,[Electronice] Sursa Laborator Model 62,37,11,152.54,209.66,0.3
144,Electronice,[Electronice] Osciloscop Model 65,41,7,67.64,142.56,0.202
145,Perisabile,[Perisabile] Adeziv Industrial Model 24,69,13,145.51,355.02,0.483
146,Electronice,[Electronice] Osciloscop Model 7,110,5,232.82,481.8,0.033
147,Electronice,[Electronice] Sursa Laborator Model 64,44,8,176.09,266.65,0.345
148,Electronice,[Electronice] Multimetru Analogic Model 46,112,20,16.83,31.84,0.299
149,Hardware,Set Imbusuri Model 2,70,11,266.57,436.94,0.307
150,Perisabile,[Perisabile] Solutie Curatare Frane Model 88,53,11,24.44,43.6,0.084
151,Auto,Baterie 12V 70Ah Model 98,46,17,194.72,346.14,0.407
152,Auto,Rulment Roata Fata Model 10,121,17,181.46,293.88,0.261
153,Hardware,Set Imbusuri Model 16,116,16,166.87,225.79,0.151
154,Electronice,[Electronice] Multimetru Analogic Model 31,46,9,167.19,271.53,0.168
155,Perisabile,[Perisabile] Solutie Curatare Frane Model 61,19,10,264.38,615.29,0.485
156,Auto,Furtun Intercooler 2.0 TDI Model 83,25,20,135.03,277.89,0.014
157,Perisabile,[Perisabile] Adeziv Industrial Model 78,103,11,166.32,352.58,0.309
158,Electronice,[Electronice] Osciloscop Model 16,14,16,207.92,327.44,0.419
159,Hardware,Set Imbusuri Model 19,27,20,211.71,505.92,0.069
160,Auto,Furtun Intercooler 2.0 TDI Model 61,100,16,292.59,377.15,0.303
161,Hardware,Incarcator Gaz Model 55,28,11,238.73,378.51,0.437
162,Hardware,Trusa Tubulare Model 5,119,15,202.64,308.28,0.463
163,Hardware,Set Imbusuri Model 43,110,19,228.46,320.49,0.029
164,Auto,Furtun Intercooler 2.0 TDI Model 31,33,18,98.83,187.89,0.082
165,Perisabile,[Perisabile] Adeziv Industrial Model 93,96,12,94.93,204.71,0.01
166,Auto,Filtru Aer Model 30,65,6,176.74,321.95,0.296
167,Hardware,Cheie Dinamometrica Model 64,79,19,99.79,196.39,0.49
168,Electronice,[Electronice] Modul Transmisie LoRa Model 89,119,5,142.4,277.11,0.362
169,Auto,Baterie 12V 70Ah Model 98,31,19,218.45,410.44,0.312
170,Perisabile,[Perisabile] Solutie Curatare Frane Model 32,115,9,187.45,404.5,0.36
171,Perisabile,[Perisabile] Spray Degripant Model 36,50,14,63.07,149.26,0.296
172,Hardware,Incarcator Gaz Model 89,107,12,204.57,311.46,0.295
173,Auto,Rulment Roata Fata Model 61,19,5,78.69,185.9,0.331
174,Electronice,[Electronice] Osciloscop Model 80,6,8,253.65,489.76,0.408
175,Hardware,Set Imbusuri Model 38,64,13,152.53,277.29,0.265
176,Perisabile,[Perisabile] Spray Degripant Model 17,122,16,111.11,234.16,0.061
177,Auto,Senzor Debitmetru Model 25,146,15,195.34,314.36,0.048
178,Perisabile,[Perisabile] Adeziv Industrial Model 30,54,13,193.22,302.44,0.448
179,Hardware,Incarcator Gaz Model 50,71,20,265.08,575.53,0.319
180,Hardware,Trusa Tubulare Model 77,94,20,46.2,87.3,0.189
181,Electronice,[Electronice] Modul Transmisie LoRa Model 10,123,7,125.95,184.23,0.064
182,Perisabile,[Perisabile] Spray Degripant Model 39,89,9,51.42,76.1,0.381
183,Electronice,[Electronice] Sursa Laborator Model 21,60,10,110.94,252.45,0.194
184,Electronice,[Electronice] Modul Transmisie LoRa Model 26,27,18,234.41,306.7,0.438
185,Electronice,[Electronice] Multimetru Analogic Model 73,21,5,244.05,474.92,0.3
186,Auto,Furtun Intercooler 2.0 TDI Model 86,92,7,12.08,20.97,0.103
187,Electronice,[Electronice] Modul Transmisie LoRa Model 90,95,7,140.29,283.67,0.172
188,Perisabile,[Perisabile] Solutie Curatare Frane Model 17,106,9,86.24,155.88,0.176
189,Hardware,Cheie Dinamometrica Model 60,133,18,277.82,382.83,0.304
190,Perisabile,[Perisabile] Solutie Curatare Frane Model 84,87,9,18.63,43.65,0.289
191,Auto,Baterie 12V 70Ah Model 10,73,10,256.44,345.29,0.447
192,Electronice,[Electronice] Sursa Laborator Model 57,103,18,227.34,321.46,0.09
193,Auto,Set Placute Frana Model 64,18,10,44.65,71.69,0.249
194,Auto,Furtun Intercooler 2.0 TDI Model 97,16,5,137.06,268.68,0.357
195,Perisabile,[Perisabile] Adeziv Industrial Model 60,103,19,81.33,125.62,0.198
196,Electronice,[Electronice] Multimetru Analogic Model 59,44,11,164.13,330.27,0.382
197,Electronice,[Electronice] Modul Transmisie LoRa Model 79,106,10,164.11,390.32,0.162
198,Electronice,[Electronice] Modul Transmisie LoRa Model 34,99,16,188.61,292.04,0.203
199,Hardware,Set Imbusuri Model 13,4,17,220.44,280.25,0.178
200,Hardware,Set Imbusuri Model 67,127,13,27.36,61.03,0.395
201,Perisabile,[Perisabile] Solutie Curatare Frane Model 19,23,15,271.55,511.38,0.359
202,Auto,Furtun Intercooler 2.0 TDI Model 59,80,9,186.09,373.27,0.262
203,Electronice,[Electronice] Modul Transmisie LoRa Model 3,122,10,34.86,47.29,0.137
204,Auto,Rulment Roata Fata Model 13,110,14,183.54,280.71,0.307
205,Perisabile,[Perisabile] Spray Degripant Model 16,93,11,153.41,294.0,0.457
206,Electronice,[Electronice] Osciloscop Model 34,99,7,61.09,130.28,0.117
207,Auto,Furtun Intercooler 2.0 TDI Model 71,115,19,47.86,102.87,0.365
208,Auto,Rulment Roata Fata Model 29,91,14,75.0,165.49,0.453
209,Electronice,[Electronice] Modul Transmisie LoRa Model 20,1,12,54.24,103.29,0.153
210,Perisabile,[Perisabile] Spray Degripant Model 62,89,14,133.75,310.61,0.207
211,Auto,Set Placute Frana Model 33,139,7,37.52,84.98,0.491
212,Auto,Senzor Debitmetru Model 9,116,19,297.94,461.34,0.182
213,Perisabile,[Perisabile] Adeziv Industrial Model 80,82,12,88.03,106.92,0.154
214,Perisabile,[Perisabile] Solutie Curatare Frane Model 25,122,8,150.48,364.46,0.107
215,Perisabile,[Perisabile] Solutie Curatare Frane Model 62,7,18,294.31,602.27,0.281
216,Perisabile,[Perisabile] Adeziv Industrial Model 5,31,9,177.93,291.87,0.018
217,Hardware,Incarcator Gaz Model 92,44,14,272.96,647.6,0.309
218,Auto,Baterie 12V 70Ah Model 86,118,9,210.81,496.35,0.41
219,Electronice,[Electronice] Multimetru Analogic Model 54,5,9,100.11,234.81,0.248
220,Perisabile,[Perisabile] Adeziv Industrial Model 63,63,5,58.77,78.26,0.287
221,Electronice,[Electronice] Modul Transmisie LoRa Model 64,93,7,46.28,99.58,0.416
222,Hardware,Set Imbusuri Model 78,146,11,63.59,104.89,0.335
223,Perisabile,[Perisabile] Solutie Curatare Frane Model 89,117,9,234.6,312.23,0.352
224,Hardware,Cheie Dinamometrica Model 49,135,15,233.55,367.99,0.459
225,Electronice,[Electronice] Modul Transmisie LoRa Model 93,150,13,297.69,657.26,0.089
226,Perisabile,[Perisabile] Spray Degripant Model 82,114,6,156.49,212.27,0.44
227,Perisabile,[Perisabile] Spray Degripant Model 98,20,9,18.54,28.73,0.017
228,Auto,Furtun Intercooler 2.0 TDI Model 54,84,19,268.39,603.11,0.08
229,Perisabile,[Perisabile] Spray Degripant Model 38,68,8,193.5,385.72,0.105
230,Perisabile,[Perisabile] Solutie Curatare Frane Model 3,137,12,99.81,230.38,0.159
231,Hardware,Trusa Tubulare Model 16,39,12,22.72,30.0,0.289
232,Perisabile,[Perisabile] Spray Degripant Model 22,74,17,76.99,147.07,0.086
233,Hardware,Cheie Dinamometrica Model 45,41,19,224.97,409.44,0.243
234,Electronice,[Electronice] Modul Transmisie LoRa Model 11,144,7,289.1,420.65,0.192
235,Perisabile,[Perisabile] Spray Degripant Model 72,20,14,173.7,266.79,0.187
236,Electronice,[Electronice] Osciloscop Model 57,90,11,270.35,630.79,0.377
237,Perisabile,[Perisabile] Solutie Curatare Frane Model 34,99,10,250.95,496.19,0.373
238,Auto,Set Placute Frana Model 87,132,9,256.29,325.3,0.259
239,Hardware,Trusa Tubulare Model 11,9,10,55.05,129.5,0.391
240,Hardware,Set Imbusuri Model 49,136,16,56.63,73.89,0.156
241,Hardware,Set Imbusuri Model 91,122,20,78.01,156.57,0.417
242,Hardware,Cheie Dinamometrica Model 40,11,14,162.63,342.47,0.492
243,Auto,Rulment Roata Fata Model 51,100,6,289.32,554.6,0.474
244,Electronice,[Electronice] Multimetru Analogic Model 71,24,13,226.54,402.23,0.02
245,Hardware,Cheie Dinamometrica Model 18,89,6,154.14,372.3,0.088
246,Perisabile,[Perisabile] Spray Degripant Model 9,34,15,142.23,262.53,0.072
247,Hardware,Set Imbusuri Model 13,72,19,298.24,503.74,0.156
248,Auto,Rulment Roata Fata Model 83,43,14,11.23,18.47,0.016
249,Perisabile,[Perisabile] Spray Degripant Model 88,1,17,54.45,81.19,0.287
250,Hardware,Incarcator Gaz Model 6,95,7,33.6,44.65,0.382
251,Perisabile,[Perisabile] Spray Degripant Model 55,3,17,143.41,277.44,0.334
252,Auto,Senzor Debitmetru Model 79,130,12,235.02,533.67,0.47
253,Auto,Set Placute Frana Model 2,49,6,293.05,600.34,0.269
254,Perisabile,[Perisabile] Adeziv Industrial Model 56,123,13,168.11,263.87,0.277
255,Auto,Baterie 12V 70Ah Model 97,115,16,297.65,377.24,0.04
256,Perisabile,[Perisabile] Spray Degripant Model 79,116,19,228.91,562.83,0.027
257,Auto,Senzor Debitmetru Model 9,50,20,232.85,419.27,0.076
258,Auto,Furtun Intercooler 2.0 TDI Model 18,106,11,210.68,495.39,0.457
259,Hardware,Cheie Dinamometrica Model 65,80,12,72.94,151.65,0.03
260,Perisabile,[Perisabile] Spray Degripant Model 50,29,20,54.99,103.14,0.292
261,Hardware,Set Imbusuri Model 94,141,13,83.91,128.43,0.484
262,Hardware,Set Imbusuri Model 97,111,18,26.88,49.9,0.26
263,Hardware,Incarcator Gaz Model 38,71,10,273.96,508.35,0.012
264,Auto,Rulment Roata Fata Model 83,37,17,24.0,58.78,0.155
265,Electronice,[Electronice] Modul Transmisie LoRa Model 35,10,15,78.9,180.55,0.155
266,Auto,Senzor Debitmetru Model 65,85,9,170.37,317.54,0.043
267,Perisabile,[Perisabile] Adeziv Industrial Model 14,43,18,76.06,125.45,0.043
268,Hardware,Cheie Dinamometrica Model 78,109,17,44.02,80.36,0.421
269,Hardware,Set Imbusuri Model 41,30,11,16.1,31.57,0.132
270,Perisabile,[Perisabile] Solutie Curatare Frane Model 66,149,15,199.79,387.61,0.064
271,Hardware,Set Imbusuri Model 70,116,14,290.93,444.05,0.226
272,Hardware,Trusa Tubulare Model 70,102,10,95.56,229.81,0.486
273,Auto,Rulment Roata Fata Model 44,60,19,56.6,100.34,0.251
274,Perisabile,[Perisabile] Solutie Curatare Frane Model 6,77,8,154.74,256.28,0.18
275,Perisabile,[Perisabile] Spray Degripant Model 51,72,14,190.04,423.15,0.156
276,Hardware,Incarcator Gaz Model 78,1,10,164.7,223.54,0.201
277,Auto,Set Placute Frana Model 45,133,17,211.58,418.43,0.111
278,Auto,Set Placute Frana Model 48,63,14,199.31,329.57,0.199
279,Hardware,Trusa Tubulare Model 88,120,10,92.27,209.67,0.387
280,Auto,Rulment Roata Fata Model 65,121,6,45.42,78.61,0.381
281,Auto,Set Placute Frana Model 94,102,15,173.0,335.49,0.016
282,Perisabile,[Perisabile] Adeziv Industrial Model 80,39,12,102.14,210.14,0.078
283,Hardware,Incarcator Gaz Model 41,64,9,169.41,295.7,0.415
284,Electronice,[Electronice] Osciloscop Model 27,73,9,48.1,115.51,0.205
285,Electronice,[Electronice] Multimetru Analogic Model 8,86,7,156.24,363.0,0.2
286,Auto,Senzor Debitmetru Model 80,141,11,24.69,57.08,0.148
287,Hardware,Incarcator Gaz Model 23,126,19,82.23,165.42,0.235
288,Electronice,[Electronice] Osciloscop Model 77,144,12,61.69,98.47,0.498
289,Hardware,Incarcator Gaz Model 35,96,6,60.5,144.26,0.334
290,Hardware,Trusa Tubulare Model 53,96,15,16.01,31.83,0.211
291,Auto,Baterie 12V 70Ah Model 1,88,8,245.08,323.44,0.434
292,Auto,Filtru Aer Model 24,49,19,245.38,611.95,0.095
293,Electronice,[Electronice] Multimetru Analogic Model 41,56,16,63.48,114.46,0.435
294,Electronice,[Electronice] Modul Transmisie LoRa Model 54,43,18,45.63,59.3,0.417
295,Electronice,[Electronice] Osciloscop Model 46,121,5,204.74,449.72,0.495
296,Auto,Rulment Roata Fata Model 13,0,12,125.2,197.11,0.34
297,Hardware,Cheie Dinamometrica Model 76,110,14,207.27,336.54,0.021
298,Perisabile,[Perisabile] Spray Degripant Model 40,13,19,65.75,125.95,0.435
299,Hardware,Cheie Dinamometrica Model 82,142,8,103.97,188.74,0.053
300,Hardware,Trusa Tubulare Model 9,74,8,131.6,244.5,0.138
301,Hardware,Set Imbusuri Model 81,88,10,168.6,297.26,0.466
302,Hardware,Set Imbusuri Model 25,73,12,175.1,242.5,0.175
303,Hardware,Incarcator Gaz Model 46,91,18,278.86,528.04,0.428
304,Auto,Filtru Aer Model 17,80,16,147.67,213.05,0.384
305,Auto,Baterie 12V 70Ah Model 12,24,9,119.25,252.82,0.05
306,Auto,Furtun Intercooler 2.0 TDI Model 19,138,16,274.55,464.23,0.296
307,Auto,Furtun Intercooler 2.0 TDI Model 31,100,13,204.58,357.35,0.285
308,Hardware,Incarcator Gaz Model 4,52,13,231.03,302.63,0.191
309,Auto,Set Placute Frana Model 53,104,9,280.59,443.89,0.403
310,Hardware,Trusa Tubulare Model 86,46,12,32.03,67.85,0.465
311,Perisabile,[Perisabile] Spray Degripant Model 68,92,12,29.86,38.36,0.426
312,Hardware,Set Imbusuri Model 46,43,7,78.33,134.14,0.08
313,Electronice,[Electronice] Modul Transmisie LoRa Model 37,122,13,239.39,595.47,0.409
314,Auto,Rulment Roata Fata Model 98,57,15,84.83,188.18,0.29
315,Auto,Set Placute Frana Model 97,75,16,142.75,207.36,0.158
316,Hardware,Set Imbusuri Model 90,76,11,48.91,67.41,0.276
317,Perisabile,[Perisabile] Spray Degripant Model 85,19,8,192.83,380.6,0.323
318,Electronice,[Electronice] Osciloscop Model 8,24,16,52.27,80.73,0.338
319,Perisabile,[Perisabile] Solutie Curatare Frane Model 10,104,14,279.11,608.04,0.098
320,Hardware,Set Imbusuri Model 28,34,9,18.07,36.16,0.299
321,Electronice,[Electronice] Osciloscop Model 99,13,18,50.37,106.72,0.18
322,Hardware,Cheie Dinamometrica Model 52,145,17,165.21,273.58,0.403
323,Perisabile,[Perisabile] Solutie Curatare Frane Model 28,122,10,150.86,316.48,0.434
324,Auto,Furtun Intercooler 2.0 TDI Model 4,123,8,280.08,656.69,0.262
325,Auto,Furtun Intercooler 2.0 TDI Model 96,119,12,106.12,257.31,0.274
326,Auto,Rulment Roata Fata Model 83,79,18,203.75,390.73,0.396
327,Auto,Baterie 12V 70Ah Model 71,14,12,215.14,400.19,0.322
328,Electronice,[Electronice] Sursa Laborator Model 22,136,6,274.09,551.16,0.137
329,Perisabile,[Perisabile] Adeziv Industrial Model 26,84,12,88.98,111.28,0.245
330,Auto,Baterie 12V 70Ah Model 43,134,7,20.16,43.31,0.224
331,Perisabile,[Perisabile] Solutie Curatare Frane Model 11,40,17,28.25,41.85,0.109
332,Auto,Set Placute Frana Model 19,37,7,66.12,96.47,0.429
333,Electronice,[Electronice] Multimetru Analogic Model 59,85,13,141.98,274.55,0.306
334,Hardware,Trusa Tubulare Model 2,119,16,285.3,484.11,0.365
335,Electronice,[Electronice] Sursa Laborator Model 86,144,7,280.66,530.82,0.333
336,Hardware,Set Imbusuri Model 90,111,11,278.87,495.62,0.335
337,Perisabile,[Perisabile] Adeziv Industrial Model 75,122,11,46.25,60.43,0.308
338,Auto,Filtru Aer Model 48,88,15,142.77,195.33,0.426
339,Auto,Set Placute Frana Model 90,104,9,223.73,373.51,0.13
340,Auto,Set Placute Frana Model 6,62,6,191.22,255.86,0.414
